history_id,order_id,status_id,status_date
1,1,1,2023-08-22 22:29:27
2,2,1,2023-07-25 10:19:17
3,3,1,2022-05-26 15:37:33
4,4,1,2022-01-01 21:55:05
5,5,1,2024-11-29 17:06:53
6,6,1,2023-10-31 02:13:45
7,7,1,2022-01-10 09:28:18
8,8,1,2024-06-25 12:14:42
9,9,1,2024-06-09 03:12:50
10,10,1,2022-06-16 18:22:16
11,11,1,2024-03-17 19:48:41
12,12,1,2024-05-12 16:27:37
13,13,1,2023-06-23 11:50:57
14,14,1,2023-03-30 09:23:02
15,15,1,2023-10-22 02:55:52
16,16,1,2024-08-06 07:59:42
17,17,1,2022-08-01 20:58:31
18,18,1,2022-03-02 03:04:46
19,19,1,2023-05-15 03:25:55
20,20,1,2022-12-21 18:00:49
21,21,1,2022-08-17 02:22:56
22,22,1,2022-08-07 14:09:26
23,23,1,2022-03-30 03:07:37
24,24,1,2024-08-31 18:22:56
25,25,1,2023-01-02 07:48:48
26,26,1,2023-07-11 02:52:32
27,27,1,2024-05-27 13:02:49
28,28,1,2024-06-10 03:36:30
29,29,1,2023-03-23 06:28:24
30,30,1,2023-09-23 11:55:30
31,31,1,2023-04-14 02:51:50
32,32,1,2022-04-20 01:08:12
33,33,1,2022-08-15 03:56:18
34,34,1,2022-07-18 00:33:40
35,35,1,2024-03-20 00:12:54
36,36,1,2023-09-11 01:39:58
37,37,1,2022-09-17 13:24:09
38,38,1,2023-09-27 03:41:48
39,39,1,2022-01-29 04:18:13
40,40,1,2023-04-24 19:21:13
41,41,1,2022-09-15 16:42:13
42,42,1,2024-01-28 10:44:28
43,43,1,2022-07-21 01:54:09
44,44,1,2023-04-07 03:05:33
45,45,1,2023-07-12 20:46:25
46,46,1,2022-02-21 21:14:51
47,47,1,2023-06-02 12:45:02
48,48,1,2024-02-20 05:29:03
49,49,1,2023-04-29 23:10:06
50,50,1,2022-06-06 21:38:55
51,51,1,2024-09-12 05:11:16
52,52,1,2024-11-18 08:44:06
53,53,1,2022-12-22 22:40:28
54,54,1,2024-01-22 19:43:51
55,55,1,2022-11-03 07:46:35
56,56,1,2022-11-20 17:55:34
57,57,1,2022-10-10 12:00:35
58,58,1,2023-03-15 20:05:41
59,59,1,2023-05-12 09:17:34
60,60,1,2022-06-24 11:23:12
61,61,1,2022-05-01 17:52:43
62,62,1,2024-06-18 21:32:10
63,63,1,2024-04-28 15:55:47
64,64,1,2023-06-21 11:38:22
65,65,1,2023-06-24 22:21:38
66,66,1,2022-05-10 20:06:25
67,67,1,2024-11-30 20:38:39
68,68,1,2023-09-12 20:02:30
69,69,1,2022-07-01 04:45:55
70,70,1,2022-08-16 10:16:20
71,71,1,2023-11-06 21:00:10
72,72,1,2021-12-30 07:25:09
73,73,1,2023-09-29 11:22:54
74,74,1,2022-08-26 09:46:07
75,75,1,2022-02-20 07:48:50
76,76,1,2022-04-01 16:27:01
77,77,1,2022-12-14 05:18:15
78,78,1,2023-04-21 01:55:41
79,79,1,2023-08-28 19:11:45
80,80,1,2024-04-02 00:47:40
81,81,1,2023-05-07 08:05:08
82,82,1,2024-10-11 08:28:41
83,83,1,2024-02-28 14:36:24
84,84,1,2023-07-12 16:11:37
85,85,1,2023-01-22 09:43:23
86,86,1,2022-11-02 11:08:46
87,87,1,2022-11-07 14:00:40
88,88,1,2022-02-09 19:41:27
89,89,1,2022-11-24 01:17:35
90,90,1,2023-07-04 09:49:36
91,91,1,2022-01-05 09:09:42
92,92,1,2024-02-29 02:12:45
93,93,1,2024-06-06 01:42:53
94,94,1,2022-03-14 15:07:47
95,95,1,2022-05-16 11:27:59
96,96,1,2024-10-01 16:59:00
97,97,1,2023-06-05 15:11:10
98,98,1,2024-10-17 01:49:26
99,99,1,2023-09-29 07:06:13
100,100,1,2024-06-09 19:17:01
101,101,1,2023-02-23 16:14:54
102,102,1,2022-04-22 07:28:31
103,103,1,2023-12-12 09:28:43
104,104,1,2023-09-13 21:51:23
105,105,1,2022-04-13 11:36:19
106,106,1,2024-07-01 10:24:39
107,107,1,2022-06-07 19:03:42
108,108,1,2023-03-16 06:39:00
109,109,1,2023-06-17 06:06:22
110,110,1,2024-05-03 03:42:28
111,111,1,2023-10-05 04:47:26
112,112,1,2022-11-18 03:01:31
113,113,1,2023-05-08 10:53:42
114,114,1,2022-03-11 23:49:02
115,115,1,2022-12-18 14:35:43
116,116,1,2024-01-24 04:59:55
117,117,1,2023-01-05 06:58:42
118,118,1,2023-02-16 19:47:19
119,119,1,2022-10-20 21:34:32
120,120,1,2024-07-21 18:45:58
121,121,1,2024-10-28 17:22:55
122,122,1,2023-03-09 13:07:12
123,123,1,2022-07-19 00:07:36
124,124,1,2022-03-04 19:01:11
125,125,1,2023-11-04 01:20:35
126,126,1,2022-12-02 05:20:19
127,127,1,2023-05-06 10:33:42
128,128,1,2024-10-01 11:11:36
129,129,1,2023-09-01 16:22:21
130,130,1,2023-05-22 17:54:58
131,131,1,2024-11-01 00:13:04
132,132,1,2024-11-07 17:29:27
133,133,1,2024-03-11 03:22:34
134,134,1,2023-06-06 13:32:21
135,135,1,2023-11-28 11:24:02
136,136,1,2024-11-13 02:32:41
137,137,1,2023-10-24 08:35:12
138,138,1,2022-01-30 20:37:18
139,139,1,2022-09-23 17:23:38
140,140,1,2023-07-22 11:37:11
141,141,1,2024-06-23 10:48:54
142,142,1,2022-07-19 15:09:29
143,143,1,2022-07-30 15:42:00
144,144,1,2022-07-08 21:47:48
145,145,1,2024-02-14 10:51:17
146,146,1,2022-02-14 17:56:36
147,147,1,2023-09-13 10:03:40
148,148,1,2023-09-03 13:44:04
149,149,1,2023-12-14 19:44:22
150,150,1,2023-07-14 11:27:59
151,151,1,2022-01-08 21:51:20
152,152,1,2024-02-07 13:45:11
153,153,1,2023-03-21 17:38:38
154,154,1,2023-09-13 17:06:24
155,155,1,2022-10-28 16:52:28
156,156,1,2022-11-01 12:26:57
157,157,1,2024-11-22 11:13:49
158,158,1,2021-12-17 14:17:57
159,159,1,2022-09-03 01:16:05
160,160,1,2023-08-03 03:19:21
161,161,1,2022-07-28 16:52:45
162,162,1,2022-01-25 06:23:19
163,163,1,2024-08-05 17:25:42
164,164,1,2023-03-21 08:11:31
165,165,1,2022-03-22 13:11:49
166,166,1,2024-09-21 10:55:00
167,167,1,2024-04-04 16:27:27
168,168,1,2022-11-20 01:20:25
169,169,1,2024-12-10 09:54:39
170,170,1,2022-06-09 11:53:09
171,171,1,2022-04-11 18:42:30
172,172,1,2023-10-16 17:26:14
173,173,1,2024-01-12 18:59:03
174,174,1,2023-12-18 18:42:14
175,175,1,2023-07-02 12:35:48
176,176,1,2024-04-23 04:05:06
177,177,1,2022-11-09 22:58:03
